Account ID,Account Name,Package,Segment,Active paying account,HQ type,Agent Category,Agent Name,Agent Active,Agent Created At,Agent Updated At
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,OPERATIONS,Risky reservation detector,true,"Jul 9, 2026, 12:27:28 AM","Jul 9, 2026, 12:27:28 AM"
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,pro,Mid-Market,true,,OPERATIONS,Amenity gap detector,true,"Jul 8, 2026, 10:34:03 PM","Jul 8, 2026, 10:34:03 PM"
64c8ce07e81a04c3247ccaf8,KIPPAL,pro,SMB,true,,OPERATIONS,Weekly Operation Brief,true,"Jul 8, 2026, 10:23:19 PM","Jul 8, 2026, 10:23:19 PM"
69bd58ec4a4da1c92d8bc402,VOL HOSTING,pro,SME,true,,OPERATIONS,Check-in readiness,true,"Jul 8, 2026, 10:08:11 PM","Jul 8, 2026, 10:08:11 PM"
69bd58ec4a4da1c92d8bc402,VOL HOSTING,pro,SME,true,,FINANCE,Unpaid reservation tracker,true,"Jul 8, 2026, 10:07:56 PM","Jul 8, 2026, 10:07:56 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,FINANCE,Tax Configuration Audit,true,"Jul 8, 2026, 6:35:24 PM","Jul 8, 2026, 6:35:24 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,OPERATIONS,Weekly Operation Brief,true,"Jul 8, 2026, 6:35:11 PM","Jul 8, 2026, 6:35:11 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,FINANCE,Unpaid reservation tracker,true,"Jul 8, 2026, 6:33:44 PM","Jul 8, 2026, 6:33:44 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,OPERATIONS,Team access review,true,"Jul 8, 2026, 6:33:06 PM","Jul 8, 2026, 6:33:06 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,OPERATIONS,Stay status reconciler,true,"Jul 8, 2026, 6:32:51 PM","Jul 8, 2026, 6:32:51 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jul 8, 2026, 6:31:33 PM","Jul 8, 2026, 6:31:33 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,OPERATIONS,Maintenance tracker,true,"Jul 8, 2026, 6:30:42 PM","Jul 8, 2026, 6:30:42 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,ACCOUNTING,Monthly cancelled reservations,true,"Jul 8, 2026, 6:30:16 PM","Jul 8, 2026, 6:30:16 PM"
68c99f2a467ac68da2e58296,Sea Coast Rentals,pro,SME,true,,FINANCE,Fee configuration detector,true,"Jul 8, 2026, 6:29:57 PM","Jul 8, 2026, 6:29:57 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Daily task coverage board,true,"Jul 8, 2026, 6:05:07 PM","Jul 8, 2026, 6:05:07 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Weekly Operation Brief,true,"Jul 8, 2026, 6:04:46 PM","Jul 8, 2026, 6:04:46 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Team access review,true,"Jul 8, 2026, 6:04:38 PM","Jul 8, 2026, 6:04:38 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jul 8, 2026, 6:04:23 PM","Jul 8, 2026, 6:04:23 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Check-in readiness,true,"Jul 8, 2026, 6:03:48 PM","Jul 8, 2026, 6:03:48 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Maintenance tracker,true,"Jul 8, 2026, 6:03:34 PM","Jul 8, 2026, 6:03:34 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Inquiry expiry manager,true,"Jul 8, 2026, 6:03:23 PM","Jul 8, 2026, 6:03:23 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jul 8, 2026, 6:02:32 PM","Jul 8, 2026, 6:02:32 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Amenity gap detector,true,"Jul 8, 2026, 6:02:26 PM","Jul 8, 2026, 6:02:26 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Commitment keeper,true,"Jul 8, 2026, 6:02:18 PM","Jul 8, 2026, 6:02:18 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,COMMUNICATIONS,Negative review challenger,true,"Jul 8, 2026, 6:01:41 PM","Jul 8, 2026, 6:01:41 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Reservation handoff brief,true,"Jul 8, 2026, 6:01:34 PM","Jul 8, 2026, 6:01:34 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Review to task dispatcher,true,"Jul 8, 2026, 6:01:04 PM","Jul 8, 2026, 6:01:04 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,COMMUNICATIONS,Review response drafter,true,"Jul 8, 2026, 6:00:34 PM","Jul 8, 2026, 6:00:34 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Reservation duplicate detector,true,"Jul 8, 2026, 6:00:11 PM","Jul 8, 2026, 6:00:11 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Risky reservation detector,true,"Jul 8, 2026, 5:59:58 PM","Jul 8, 2026, 5:59:58 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Translation gap filler,true,"Jul 8, 2026, 5:59:45 PM","Jul 8, 2026, 5:59:45 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,OPERATIONS,Stay status reconciler,true,"Jul 8, 2026, 5:59:33 PM","Jul 8, 2026, 5:59:33 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,FINANCE,Tax Configuration Audit,true,"Jul 8, 2026, 5:59:12 PM","Jul 8, 2026, 5:59:12 PM"
6786c86d1e8afb8c9a78be4b,Lanui Realty,pro,Mid-Market,true,,FINANCE,Unpaid reservation tracker,true,"Jul 8, 2026, 5:58:42 PM","Jul 8, 2026, 5:58:42 PM"
6542c4e210675435b7246225,Bungalow Solutions LLC,pro,SME,true,,ACCOUNTING,Advance deposit checker,true,"Jul 8, 2026, 5:40:17 PM","Jul 8, 2026, 5:40:17 PM"
6542c4e210675435b7246225,Bungalow Solutions LLC,pro,SME,true,,OPERATIONS,Risky reservation detector,true,"Jul 8, 2026, 5:39:57 PM","Jul 8, 2026, 5:39:57 PM"
6542c4e210675435b7246225,Bungalow Solutions LLC,pro,SME,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jul 8, 2026, 5:36:39 PM","Jul 8, 2026, 5:36:39 PM"
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,pro,Mid-Market,true,,FINANCE,Tax Configuration Audit,true,"Jul 8, 2026, 4:49:48 PM","Jul 8, 2026, 4:49:48 PM"
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,pro,Mid-Market,true,,OPERATIONS,Commitment keeper,true,"Jul 8, 2026, 4:49:18 PM","Jul 8, 2026, 4:49:18 PM"
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jul 8, 2026, 4:49:05 PM","Jul 8, 2026, 4:49:05 PM"
68b8480d5ae37cf73089f796,LOKA,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jul 8, 2026, 4:05:04 PM","Jul 8, 2026, 4:05:04 PM"
68b8480d5ae37cf73089f796,LOKA,pro,SMB,true,,OPERATIONS,Commitment keeper,true,"Jul 8, 2026, 4:02:33 PM","Jul 8, 2026, 4:02:33 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,OPERATIONS,Weekly Operation Brief,true,"Jul 8, 2026, 3:59:46 PM","Jul 8, 2026, 3:59:46 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,FINANCE,Unpaid reservation tracker,true,"Jul 8, 2026, 3:59:27 PM","Jul 8, 2026, 3:59:27 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,OPERATIONS,Review to task dispatcher,true,"Jul 8, 2026, 3:58:59 PM","Jul 8, 2026, 3:58:59 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,COMMUNICATIONS,Review response drafter,true,"Jul 8, 2026, 3:58:09 PM","Jul 8, 2026, 3:58:09 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,COMMUNICATIONS,Negative review challenger,true,"Jul 8, 2026, 3:57:46 PM","Jul 8, 2026, 3:57:46 PM"
674c89854205b64ae791db2d,Apex Short Term Stays,pro,SME,true,,OPERATIONS,Maintenance tracker,true,"Jul 8, 2026, 3:57:35 PM","Jul 8, 2026, 3:57:35 PM"
