Account ID,Account Name,Package,Segment,Active paying account,HQ type,Agent Category,Agent Name,Agent Active,Agent Created At,Agent Run Completed At,Agent Run Status,Agent Run Output
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:17:53 PM","Jul 23, 2026, 12:39:13 AM",FAILED,Agent execution failed
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:17:53 PM","Jul 22, 2026, 8:39:41 PM",DONE,All 20 listings scanned with no double bookings detected.
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:17:53 PM","Jul 22, 2026, 4:39:51 PM",DONE,Scanned 21 listings on 2026-07-22. No double bookings detected.
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,COMMUNICATIONS,Review response master,true,"Jul 22, 2026, 1:28:53 PM","Jul 23, 2026, 12:39:11 AM",DONE,Failed: No reviews scanned or processed.
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,COMMUNICATIONS,Review response master,true,"Jul 22, 2026, 1:28:53 PM","Jul 22, 2026, 8:39:03 PM",FAILED,Agent execution failed
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,COMMUNICATIONS,Review response master,true,"Jul 22, 2026, 1:28:53 PM","Jul 22, 2026, 4:39:05 PM",FAILED,Agent execution failed
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jul 22, 2026, 1:29:07 PM","Jul 22, 2026, 2:43:01 PM",FAILED,Agent execution timed out
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,FINANCE,Unpaid reservation tracker,true,"Jul 22, 2026, 1:29:39 PM","Jul 22, 2026, 2:27:33 PM",DONE,"```json
{""short"":""Action needed 831 reservations flagged with significant underpaid gaps: Scanned 1789 total; review before month-end close."",""long"":""This month's unpaid reservation scan evaluated 178"
5bbe1ed205fbeb0039803eb3,Hom Group,pro,SME,true,,OPERATIONS,Check-in readiness,true,"Jul 22, 2026, 1:35:00 PM","Jul 22, 2026, 10:40:07 PM",DONE,Reviewed 56 reservations checking in within the next 24 hours; all 56 need attention.
6953d56988cba42d9e7a8f8e,SDK Homes Aps,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jul 22, 2026, 1:47:21 PM","Jul 22, 2026, 10:39:03 PM",FAILED,Agent execution failed
65c753ef2ffb9595c28f272b,Tropical Stays Cairns ,pro,SME,true,,OPERATIONS,Vacancy task detector,true,"Jul 22, 2026, 1:47:33 PM","Jul 22, 2026, 8:39:04 PM",DONE,Done **Vacancy and readiness sweep complete**: no properties flagged.
68fa462832feafcbded998c3,Keytoko,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:47:36 PM","Jul 22, 2026, 10:39:03 PM",DONE,"Scanned 3 listings, no double booking conflicts detected."
68fa462832feafcbded998c3,Keytoko,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:47:36 PM","Jul 22, 2026, 6:39:13 PM",DONE,One listing scanned; no double bookings detected.
68fa462832feafcbded998c3,Keytoko,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:47:36 PM","Jul 22, 2026, 2:39:01 PM",DONE,No double bookings detected in the scan.
68fa462832feafcbded998c3,Keytoko,pro,Mid-Market,true,,OPERATIONS,Check-in readiness,true,"Jul 22, 2026, 1:47:45 PM","Jul 22, 2026, 4:39:20 PM",FAILED,Agent execution failed
65c753ef2ffb9595c28f272b,Tropical Stays Cairns ,pro,SME,true,,COMMUNICATIONS,Negative review challenger,true,"Jul 22, 2026, 1:47:47 PM","Jul 22, 2026, 11:39:03 PM",DONE,No eligible bad reviews in the last 24 hours; nothing to review.
65c753ef2ffb9595c28f272b,Tropical Stays Cairns ,pro,SME,true,,OPERATIONS,Commitment keeper,true,"Jul 22, 2026, 1:48:00 PM","Jul 22, 2026, 10:39:43 PM",DONE,"```json
{
  ""short"": ""Scanned 129 reservations; 18 have open commitments, 14 notes posted and 4 could not be posted."",
  ""long"": ""Scanned 129 upcoming and in-stay reservations; 18 have promises to the"
690bd9fce40ddfabc7419b5b,Roberta Alvarenga,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jul 22, 2026, 1:48:23 PM","Jul 22, 2026, 3:39:08 PM",DONE,Scored 0 reservations; no reservations to review.
570f72c6bf2a540e00c54b14,Coral & Coco,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:48:36 PM","Jul 23, 2026, 12:39:24 AM",DONE,"Scanned 4 listings, found no double bookings or conflicts."
570f72c6bf2a540e00c54b14,Coral & Coco,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:48:36 PM","Jul 22, 2026, 8:39:18 PM",FAILED,Agent execution failed
570f72c6bf2a540e00c54b14,Coral & Coco,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:48:36 PM","Jul 22, 2026, 4:39:29 PM",DONE,All 14 listings checked successfully with no double bookings detected.
570f72c6bf2a540e00c54b14,Coral & Coco,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jul 22, 2026, 1:48:36 PM","Jul 22, 2026, 1:54:41 PM",DONE,Scanned 5 listings; no double bookings detected.
65c753ef2ffb9595c28f272b,Tropical Stays Cairns ,pro,SME,true,,COMMUNICATIONS,Review response master,true,"Jul 22, 2026, 1:48:38 PM","Jul 22, 2026, 10:39:05 PM",FAILED,Agent execution failed
