Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Owner payment details collector,Airbnb quality detector,# Active
Accounts activated (of 63),,,,,,,28,29,17,33,16,20,16,18,15,4,22,34,10,13,23,28,43,38,21,6,15,10,15,33,11,15,11,23,567
68d6e9bc455d7fda436118d3,BUHO Property,SMB,pro,,,true,V,V,,V,V,,,V,,,V,V,V,V,V,V,V,V,,,V,,,V,,V,,,16
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,Mid-Market,pro,,,true,,,,,,,,,,,,V,,,V,V,V,V,V,,,,,V,,V,,,8
6542c4e210675435b7246225,Bungalow Solutions LLC,SME,pro,,,true,V,V,V,V,V,,,,,,,,,,V,V,V,V,,,V,,,V,,V,,,12
68d6d384455d7fda436118ca,Scenic Stays,Enterprise,enterprise,,,true,V,V,V,V,,OFF,,V,,,,V,,,V,,V,,,,V,,,V,V,V,,,12
644296ae8062130039e4a8f9,Virtual Homes Realty,Mid-Market,pro,,,true,V,V,V,V,V,V,V,V,,,V,V,,,V,V,V,V,V,,V,,,V,,V,,,18
614f3a3a96a3a1002ffb58df,PBD Living,Mid-Market,pro,,,true,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,2
655346f4ac25e87d1056b160,Stay Homy,Mid-Market,pro,,,true,,,V,,,,,,,,,V,,V,V,V,V,,,,,,,,,,,,6
698643d7c43dd1a712877d97,Wilder Waters Vacation Rental Management Inc,Mid-Market,pro,,,true,V,V,V,,V,,V,,,,,,,,,V,,V,,,,,,,,,,,7
67f01c8f48a9aa094fae1a6a,William Andrade,SMB,pro,,,true,V,V,V,V,V,,V,,V,,V,V,V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,23
