Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar block monitor,Calendar conflict detector,Check-in readiness,Cleaning conflict detector,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance block agent,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Vacancy task detector,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Listing Ownership Gap Finder,Owner payment details collector,Airbnb quality detector,# Active
Accounts activated (of 219),,,,,,,93,23,91,61,10,102,51,77,8,55,57,56,5,60,107,35,41,57,13,97,135,109,88,6,63,25,54,106,47,50,14,31,68,1895
675c9a27fbdf9f70c0e7d1bd,PMI Blue Ridge,Mid-Market,pro,Tove May,,true,V,,,V,,V,,V,,,,,,,,,,,,V,V,V,,,V,,V,V,,,,,V,11
685c51f8b12c774daba24d86,Mi.Re Project LLC,Mid-Market,pro,Ram Cheriyath,,true,,V,,,,OFF,,OFF,,,,,,,,,,,,,V,OFF,V,,,,,,,,,,OFF,3
5aff29ca5e0f84006a37cb5d,Stay Awhile Villas,SME,pro,Audrey Puylaert,,true,,,V,,V,V,,V,,V,,,,V,V,,V,,,V,V,,,,,,V,V,,,,V,,13
6630f5b1713d3ca356f49862,HH Island Rentals,Mid-Market,pro,Matthew Bonasera,,true,,,,,,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,2
69f38857e330761c405c9473,cream one s.r.o.,SMB,pro,Daniel Sanchez,,true,,,V,,,,,,,,,,,,V,,V,,V,V,,,,,V,,,V,,,,V,,8
6893952b8fa2976c485f6a35,Full Circle Property,SMB,pro,Guesty Support,,true,V,,,V,,V,,,,,V,V,,,V,V,,,,V,V,V,V,V,V,,V,V,,,V,V,V,18
68aed999c3307ffd38a1c27c,MIT Vacation Rentals,SMB,pro,Guesty Support,,true,V,,,,,,,,,V,,,,V,V,,,,,V,V,V,V,,,,,V,,,,,V,10
691be87fe20d659c1e6bd35d,Violet Group Ltd,Mid-Market,pro,Rafael Merchán,,true,V,,V,,,,,V,,,,,,,,V,,,,V,,,,,V,,,V,V,,,,V,9
5be2168ff587930038b6ae0d,Allen Thomas,Mid-Market,pro,Benjamin Lockard,,true,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,2
697d08cb663b9035ac4ca73a,Mountain Air Cabins and Real Estate,Mid-Market,pro,Alexandra Laframboise,,true,V,V,V,V,V,V,V,V,,V,V,V,,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,,,V,,26
67463a3cfb1543cbd527a5e2,"Legacy Corporate Properties, Inc.",Mid-Market,pro,Benjamin Lockard,,true,V,V,V,V,,V,,V,,,,,,,,,,,,,,,,,,,,,,V,V,,V,9
69cc4d66a9f6b32e370fe8f5,GEKO S.A.C.,Mid-Market,pro,Daniela Collazo,,true,V,,,V,V,,V,,V,V,,,,,,,,,,V,,,V,,,,,,,,,,V,9
6745e54b4205b64ae791d921,Kindle Ridge,SMB,pro,Ramiro Peña,,true,,,,V,,V,,V,,,,,,V,V,,,,,V,,V,,,,,,,,,,,,7
5c239af5aff3ee0028284d7d,Neat Suites,SME,pro,Stacy Wesson,,true,,V,,,,V,,,,,,V,,,V,,,,,,V,V,V,,V,,V,,,,,,V,10
65cb786f36da152bda20cb1d,Gestion Ma Kabane,Mid-Market,pro,Tove May,,true,,,,V,,,,,,V,,,,V,V,,,,,V,V,,,,,,,,,,,,,6
691ef73751ad620fe8272c78,"El Pampero Investimentos, Lda",SMB,pro,Ander Vicente,,true,,,,,,V,,,,,,,,,V,,,,,V,,,,,,,,V,,,,,,4
64c8ce07e81a04c3247ccaf8,KIPPAL,SMB,pro,Tatiana Del Rosario,,true,,,,,,,V,,,,,V,,,,,,,,V,,,,,,,V,,,,,,,4
671facea217e6427c3ae8e62,KRG Vacation Rentals,Mid-Market,pro,Enjoli Mitchell,,true,,V,V,V,V,V,V,V,,V,V,,,,V,V,,V,,,V,V,V,,V,,,V,,,V,V,V,20
667045cceba67e5ba8a581db,CoolBnBs,Mid-Market,pro,Enjoli Mitchell,,true,V,,,,,OFF,,V,,,,V,,,V,,,,,V,V,V,,,,,V,,,,,,V,9
637584ecc84c6100468437f0,Colby & Conrad,SME,pro,Benjamin Lockard,,true,,,,,,,,,,,,,,V,V,,,,,V,V,V,V,,,,V,V,V,,,,V,10
68c9af7ae470f3f13410f6b1,PMI Estes Park,Mid-Market,pro,Tove May,,true,,,,V,,,,,,,V,,,,V,,V,,,,V,,,,V,,,V,,,,V,,8
636ab0a7212e8b004f9f7610,Get RED-y Vacations,Mid-Market,pro,Josue Paredes,,true,,,,,,V,,,,,,V,,,,,,,,V,V,V,,,V,,V,V,,,,V,V,10
637e8a64b8e6e50030a658b7,trey@modernvrm.com,Mid-Market,pro,Zafar Khan,,true,V,,V,V,,V,V,V,,V,V,V,,V,V,V,,,,V,V,V,V,,V,,V,V,V,V,,V,V,23
665046f77fe2c5eeeb5cac66,Unik Vacation,Mid-Market,pro,Mattia Peressini,,true,V,,,,,V,,,,,,,,,,,,,,,V,V,V,,,,,,,,,,V,6
62949e54f4ab0f00338fbb13,Frankie Says,SME,pro,Jay Taylor,,true,,,V,,,,V,,,V,,,,V,,,V,V,V,V,V,V,V,,,,,,,,,,,11
605dc8bcc124b6002cbc9e89,Liiiving,Mid-Market,pro,Rafael Merchán,,true,V,,V,,,,,V,,,V,,,,,,,V,,V,V,,,,,,,,,,,,V,8
6a29bb58b474dc31355a117c,Hive Holiday Homes,SME,pro,Francesca Pastore,,true,V,V,V,V,,V,V,V,,V,,V,,V,,,,V,,,V,V,V,,V,,,,,,,V,V,17
6779e5da309e10ff8a2b7b3f,Sophia,SME,pro,Ram Cheriyath,,true,,,V,V,,,V,V,,,,,,,,,,,,V,,V,,,,,,,,,,,,6
66eced7f1dc77ec07955d9a2,Beach Huts Middleton,Mid-Market,pro,Katherine Ting,,true,,,,OFF,,OFF,V,,,,,,,,OFF,,,,,,,,,,,,,,,,,,,1
66561ff3a2804e4d37b295ae,Shore Thing Property LLC,SME,pro,Matthew Bonasera,,true,V,,V,OFF,,,,,,,V,,,V,,,,,,,V,V,V,,V,,V,V,V,V,,,V,13
5bdb0bb50176f0003e48d8bb,Angel Host Inc,Enterprise,enterprise,Daniela Collazo,,true,,,V,OFF,,V,,OFF,,V,,V,,V,,,,,,,V,V,V,,,,,V,,,,,,9
