Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar block monitor,Calendar conflict detector,Check-in readiness command,Cleaning conflict detector,Daily task coverage board,Guest commitment tracker,Inquiry expiry manager,Maintenance block agent,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access auditor,Translation gap filler,Vacancy task detector,Weekly operations brief,Negative review challenger,Review response master,Saved reply optimizer,Checkout balance collection,Fee configuration detector,Multi-unit fee detector,Security deposit extender,Tax configuration auditor,Unpaid reservation tracker,Advance deposit checker,Cancelled reservation reconciler,Negative owner revenue detector,Realization window auditor,Listing ownership gap finder,Owner payment details collector,Airbnb quality detector,# Active
Accounts activated (of 722),,,,,,,127,221,262,177,67,142,297,230,35,164,161,175,4,188,313,112,129,69,110,299,444,305,302,6,170,33,76,159,325,127,161,26,27,32,100,138,5713
6805395840918f71a47ae2fd,Elegent Holidays | EH Listings,SMB,pro,Dana Evans,,true,,V,,V,V,V,V,V,V,V,,V,,V,V,V,,,,V,V,V,V,,,,,V,V,,,,,,,,18
6978068397c71aa6720b0c77,Aunaisin,SMB,pro,Ramiro Peña,,true,,V,,,,,V,,,V,,,,V,,,,,,,V,V,V,,,,,,,,,,,,,,7
68502ce669052da60a37bb36,PMI Orlando Getaways,Mid-Market,pro,Austen Bernhardt,,true,V,,,V,,,,V,,,,,,,V,,,,,,V,,,,,,,V,,V,V,V,V,,,V,11
69288c370cb25a3efd781129,Native Residence,SMB,pro,Lionel Glover,,true,,V,V,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,3
6a23434a4b2eed6c34919c21,Gwen Resendes,SMB,pro,Austen Bernhardt,,true,V,,,V,,,V,V,,,,V,,,V,,,,,,V,V,V,,,,V,,V,,,,,,,,11
6954699888cba42d9e7a8fb0,Rainbow Rentals,Mid-Market,pro,Dana Evans,,true,,V,V,V,V,V,V,V,,V,,V,,V,V,V,V,,V,V,V,V,V,,V,,,V,V,V,V,,,,V,,24
67e73342c8b52d834dcb8ca2,The Stay LA,Mid-Market,pro,Guesty Support,,true,,V,,V,,,V,V,,,,,,V,V,,,,,,V,V,,,,,V,V,V,,V,,,,,,12
693edeb47e1715aa98c354c2,Catto Servizi srl,SMB,pro,Guesty Support,,true,,V,V,,V,,V,,,,,,,V,V,V,,,,,V,,,,,,V,,,V,,,,,,,10
676dc516892a35ba99f8c80d,Stay Here,Mid-Market,pro,Ram Cheriyath,,true,,V,V,,,,V,V,,V,V,,,V,V,V,V,,,V,V,V,V,,V,,V,,V,V,V,,,,V,,20
686c3ac5a4bbacd7a82a4f7c,Christiano Property Management Ltd.,SMB,pro,Dana Evans,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,V,V,V,V,V,V,V,,,,V,,28
642c5bf658223300356b9164,Life Home GmbH,SMB,pro,Giorgia Ruocci,,true,,,,,,,,,,,,,,,V,,,,,,V,,V,,,,,,,,,,,,,,3
67f8fa32259cbcdbc6e8c35f,Angelo Diotisalvi,SMB,pro,Guesty Support,,true,,V,V,,,,V,V,,,V,,,V,V,V,,,V,V,V,,,,V,,V,,V,,,,,,V,,15
68b0952ed59e5fa392933123,Aervilla,Mid-Market,pro,Francine Boateng,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,1
695e562b6b73d4e3971eeb5c,Lil Blu Properties Ltd T/A Lil Blu Stays,SMB,pro,Guesty Support,,true,,V,,,,,V,,,,,,,,,,,,,,,,,,,,,,,V,V,,,,,,4
69739854463cf568977078e1,Salty Stays Vacations,Mid-Market,pro,Ramiro Peña,,true,,,,V,,V,V,,,V,,,,,,,,,,,V,,,,V,,,V,,,,,,,,,7
67f939f356bac59fb2d49eea,MyLocTravel,Mid-Market,pro,Steven Brumwell,,true,,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,,,V,V,V,V,,,,,,V,,25
69e0e3470f8cce78dc1127f5,Scandinavian property rentals SL,SMB,pro,Daniel Sanchez,,true,,,V,V,V,V,,,,V,,,,,,,,,,V,V,V,V,,V,,,V,V,,,,,,V,,13
6793fa51d9deecc47f5fde52,PMI Annapolis,Mid-Market,pro,Tove May,,true,V,V,OFF,V,,,V,V,,V,,V,,,V,,,,,V,V,V,V,,,,,,V,V,V,,,,,V,16
6470a2c5bf09b100435fa18c,Del Mar Vacations,SME,pro,Michelle Kim,,true,,V,V,,,,V,,,,V,V,,,V,,,,,,V,,,,,,,,V,,,,,,,,8
678ac5b81e8afb8c9a78c125,Ocean City Vacation Homes,SME,pro,Tatiana Figueroa,,true,V,V,V,V,,,V,V,,,,,,V,,,,,,V,V,V,,,,,,,V,V,,V,,V,,V,15
