Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout Balance Collection Agent,Fees configuration Audit,Security deposit extender,Tax configuration Audit,Unpaid reservation tracker,Advanced deposit clearance,Monthly Cancelled Reservations,Owner payment details collector,Airbnb quality detector,# Active
65fbdfd0d916089814834489,Praia Villas,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
660583ed73200f683ecf3134,OutpostX,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
685065549bf7f8c07ec24d1f,Coast to Coast Connections,SMB,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
67f01c8f48a9aa094fae1a6a,William Andrade,SMB,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
6a270d0f4b2eed6c34919d5f,Luxury Getaways,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
6862ebb9b12c774daba25021,Royal Vista Vacations Homes Co. LLC,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
68890ecea14c863e5df1290d,KSN Real Estate,SMB,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
6350a5240e693e0030bf2c4e,Peachy Properties,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
66885058f6abdb39ff57b9a9,Nestoria Estates Inc.,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
6893952b8fa2976c485f6a35,Full Circle Property,SMB,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
668f4d5b3a1924cbf20ceb9b,NextGen Furnished Rentals LLC,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
63cfe630ecbfb30039426da8,Maxwell Residences,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
67d362f57468c0a23a0281f5,Stay Portland,SME,pro,,,true,V,,,V,,,,,,,,,,,,,V,V,,,,,,,,,,,4
680f840727962971e7ee00c0,Wyndale Living,SMB,pro,,,true,V,,,V,,,,,V,,,V,,,V,,V,V,V,,,,,,,,,,8
654656eac66d810b8ce078ac,"Martinek Management, Inc.",Mid-Market,pro,,,true,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,1
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,SMB,pro,,,true,,,,,,,,,,,V,V,,,V,,V,V,V,,,,,V,,,,,7
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,SME,pro,,,true,V,,,V,,,,,,V,V,,,,,,,,,,,,,,,,,,4
69f45411a36ffdd106868926,5starbalivilla,Mid-Market,pro,,,true,,V,,V,,,,V,,,,,,,V,,,V,,,,,,,,,,,5
692739cf51ad620fe8272e74,Fripp Island Golf & Beach Resort,SME,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,1
64ac4ed558fd69003fb7e3a4,GueStay Properties,SMB,pro,,,true,,OFF,,,V,,,,V,,,,,,V,,V,,,,,,,,OFF,,,,4
6601f8d2c9d2b0a68e714a68,"Navigate Stays, Inc.",SME,pro,,,true,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,1
5db0a5a602bcef001fed7da1,GreatStay,Mid-Market,pro,,,true,,,,,,,,,,,V,,,,,,,V,,,,,,,,,,,2
5db6c592bba9f4001f7d610f,EASY BNB GmbH,SME,pro,,,true,,V,,,,,,,V,,V,V,,,V,,OFF,V,,,,,,,,,,,6
6862e08eb12c774daba2501a,LS Living Solutions GmbH,SMB,pro,,,true,,,,V,,V,,,,V,,V,,,V,,V,V,,,,,,V,,,,,8
65351c644892a1c2b05f9e34,AIR MGMT,SME,pro,,,true,V,V,,V,,V,,,,,V,V,V,,,V,V,V,,,,,,V,,,,V,12
