GitHub Owner,Team Name
@guestyorg/adventure,Adventure
@guestyorg/airbook,Airbook
@guestyorg/okta-airbook,Airbook
@guestyorg/biz,Biz
@guestyorg/biz-enterprise,Biz
@guestyorg/biz-admins,Biz Admins
@guestyorg/blitz,Blitz
@guestyorg/okta-chronos,Chronos
@guestyorg/okta-communication,Comms
@guestyorg/okta-cortex,Cortex
@guestyorg/cross,Cross
@guestyorg/okta-cross,Cross
@guestyorg/demand-tlv,Demand TLV
@guestyorg/okta-developers,Developers
@guestyorg/okta-gx,GX
@guestyorg/groot,Groot
@guestyorg/okta-groot,Groot
@guestyorg/jarvis,Jarvis
@guestyorg/okta-jarvis,Jarvis
@guestyorg/team_journey,Journey
@guestyorg/okta-nexus,Nexus
@guestyorg/oxp,OXP
@guestyorg/discovery,Odyssey
@guestyorg/odyssey,Odyssey
@guestyorg/okta-discovery,Odyssey
@guestyorg/okta-payday,Payday
@guestyorg/biz-payments,Payments
@guestyorg/okta-payments,Payments
@guestyorg/okta-pop,Pop
@guestyorg/property-team,Property
@guestyorg/okta-reservo,Reservo
@guestyorg/sasquatch,Sasquatch
@guestyorg/okta-sketch,Sketch
@guestyorg/sketch,Sketch
@guestyorg/okta-starlite,Starlite
@guestyorg/okta-the-club,The Club
@guestyorg/okta-unicorn,Unicorn
@guestyorg/unicorn,Unicorn
@guestyorg/yourporter,YourPorter
@arambse,arambse
@maximmovchan1,maximmovchan1
@sergey-guesty,sergey-guesty
