Repo,Owners,Rule Type,Severity,Message,Matched Files
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Error,Forbidden files detected in the project,.github/workflows/translate.yml
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Warning,Jest is forbidden. Please migrate to Vitest,jest.config.js
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Warning,Babel is not recommended. Please migrate to Orbis,.babelrc.js
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Warning,Prettier is not recommended. Please migrate to Orbis,.prettierrc.json
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Warning,Eslint is not recommended. Please migrate to Orbis,".eslintrc.json, .eslintignore"
AutoMessagesWidget,@guestyorg/team_journey,Detect files,Warning,yarn lockfile detected. Please migrate to pnpm,yarn.lock
AutoMessagesWidget,@guestyorg/team_journey,Require files,Warning,pnpm-lock.yaml is missing,
AutoMessagesWidget,@guestyorg/team_journey,Require files,Warning,pnpm-workspace.yaml is missing,
AutoMessagesWidget,@guestyorg/team_journey,Package fields,Warning,Yarn dependency override present. You can avoid this by using pnpm and minReleaseAge most of the time,
abnb-distribution-page,@guestyorg/okta-airbook,Detect files,Warning,Prettier is not recommended. Please migrate to Orbis,.prettierrc.json
abnb-distribution-page,@guestyorg/okta-airbook,Detect files,Warning,Eslint is not recommended. Please migrate to Orbis,".eslintrc.json, .eslintignore"
abnb-distribution-page,@guestyorg/okta-airbook,Detect files,Warning,CRA and react-app-rewired is not recommended. Please migrate to Orbis,"config-overrides.js, src/react-app-env.d.ts"
abnb-distribution-page,@guestyorg/okta-airbook,Detect files,Warning,yarn lockfile detected. Please migrate to pnpm,yarn.lock
abnb-distribution-page,@guestyorg/okta-airbook,Require files,Warning,pnpm-lock.yaml is missing,
abnb-distribution-page,@guestyorg/okta-airbook,Require files,Warning,pnpm-workspace.yaml is missing,
abnb-distribution-page,@guestyorg/okta-airbook,Package fields,Warning,Yarn dependency override present. You can avoid this by using pnpm and minReleaseAge most of the time,
abnb-distribution-page,@guestyorg/okta-airbook,Package fields,Warning,Jest detected in package json. Please remove it and migrate to Vitest,
abnb-distribution-page,@guestyorg/okta-airbook,Package fields,Warning,eslintConfig detected in package json. Please remove it and migrate to Orbis,
account-settings-page,"@guestyorg/okta-cross
@guestyorg/okta-groot",Detect files,Warning,Prettier is not recommended. Please migrate to Orbis,.prettierrc.json
account-settings-page,"@guestyorg/okta-cross
@guestyorg/okta-groot",Detect files,Warning,Eslint is not recommended. Please migrate to Orbis,"cypress/.eslintrc, .eslintrc.json, .eslintignore"
